host,model,backend,device,net_rx_mbps_mean,net_rx_mbps_std,net_tx_mbps_mean,net_tx_mbps_std,duration_sec,num_samples
robot,r3d_18,vaccel-remote-ptc,edge-asus-cpu,0.026780,0.005096,11.045061,2.316957,121.037,122
robot,r3d_18,vaccel-remote-ptc,edge-asus-gpu,0.039939,0.007056,16.932362,3.054931,120.047,121
robot,r3d_18,vaccel-remote-sol,edge-asus-cpu,0.025947,0.004892,10.711356,2.190279,121.038,122
robot,r3d_18,vaccel-remote-sol,edge-asus-gpu,0.039107,0.007358,16.185201,3.058788,121.036,122
robot,resnet50,vaccel-remote-ptc,edge-asus-cpu,0.068720,0.015892,8.191053,1.930172,120.037,121
robot,resnet50,vaccel-remote-ptc,edge-asus-gpu,0.070573,0.014881,8.439289,1.742429,120.030,121
robot,resnet50,vaccel-remote-sol,edge-asus-cpu,0.070935,0.014904,8.176079,1.729412,120.034,121
robot,resnet50,vaccel-remote-sol,edge-asus-gpu,0.071418,0.017453,8.270449,2.013574,120.041,121
robot,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,0.019549,0.003439,8.285312,1.732686,120.055,121
robot,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,0.036864,0.008645,15.612341,3.769695,121.054,122
robot,swin3d_b,vaccel-remote-sol,edge-asus-cpu,0.019108,0.004449,7.777552,2.111915,121.035,122
robot,swin3d_b,vaccel-remote-sol,edge-asus-gpu,0.037196,0.008710,15.358185,3.664864,121.076,122
robot,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,0.024445,0.005626,10.277164,2.586766,121.031,122
robot,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,0.037208,0.008617,15.828857,3.708565,121.050,122
robot,swin3d_s,vaccel-remote-sol,edge-asus-cpu,0.025342,0.005728,10.356948,2.498722,121.033,122
robot,swin3d_s,vaccel-remote-sol,edge-asus-gpu,0.038287,0.008935,15.614190,3.698313,121.062,122
robot,swin_s,vaccel-remote-ptc,edge-asus-cpu,0.064040,0.014561,7.555606,1.710761,120.040,121
robot,swin_s,vaccel-remote-ptc,edge-asus-gpu,0.070301,0.018803,8.384646,2.236650,120.035,121
robot,swin_s,vaccel-remote-sol,edge-asus-cpu,0.070038,0.015096,8.066675,1.783180,120.038,121
robot,swin_s,vaccel-remote-sol,edge-asus-gpu,0.071117,0.016633,8.215759,1.930092,120.035,121
robot,swin_t,vaccel-remote-ptc,edge-asus-cpu,0.069804,0.011801,8.310190,1.419271,120.038,121
robot,swin_t,vaccel-remote-ptc,edge-asus-gpu,0.070526,0.020771,8.429328,2.475316,120.043,121
robot,swin_t,vaccel-remote-sol,edge-asus-cpu,0.071740,0.012645,8.270344,1.458799,120.037,121
robot,swin_t,vaccel-remote-sol,edge-asus-gpu,0.072233,0.018935,8.349802,2.201558,120.037,121
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,0.045241,0.010452,5.323367,1.241660,120.031,121
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,0.069795,0.018232,8.335010,2.197275,120.036,121
robot,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,0.052919,0.011677,6.094757,1.353520,120.044,121
robot,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,0.071424,0.016788,8.245547,1.951190,120.025,121
